x,y,z,intensity
135,8,81,71.0
135,8,82,90.0
135,8,83,89.0
135,8,84,125.0
135,9,54,46.0
135,9,55,41.0
135,9,56,39.0
135,9,57,41.0
135,9,58,38.0
135,9,59,37.0
135,9,60,38.0
135,9,61,33.0
135,9,62,28.0
135,9,63,39.0
135,9,64,49.0
135,9,65,45.0
135,9,66,45.0
135,9,67,48.0
135,9,68,48.0
135,9,69,54.0
135,9,70,56.0
135,9,71,61.0
136,6,81,124.0
136,6,82,123.0
136,6,83,106.0
136,6,84,103.0
136,6,85,100.0
136,6,86,79.0
136,6,87,75.0
136,6,88,69.0
136,6,89,67.0
136,6,90,64.0
136,6,91,72.0
136,6,92,75.0
136,6,93,71.0
136,7,62,111.0
136,7,63,108.0
136,7,64,103.0
136,7,65,94.0
136,7,66,87.0
136,7,67,80.0
136,7,68,78.0
136,7,69,75.0
136,7,70,67.0
136,7,71,60.0
136,7,72,55.0
136,7,73,49.0
136,7,74,53.0
136,7,75,49.0
136,7,76,49.0
136,7,77,47.0
136,7,78,40.0
136,7,79,50.0
136,7,80,43.0
136,7,81,45.0
136,7,82,40.0
136,7,83,52.0
136,7,84,56.0
136,7,85,61.0
136,7,86,53.0
136,7,87,58.0
136,8,56,61.0
136,8,57,48.0
136,8,58,37.0
136,8,59,29.0
136,8,60,28.0
136,8,61,33.0
136,8,62,31.0
136,8,63,32.0
136,8,64,30.0
136,8,65,29.0
136,8,66,32.0
136,8,67,27.0
136,8,68,32.0
136,8,69,39.0
136,8,70,27.0
136,8,71,30.0
136,8,72,38.0
136,8,73,36.0
136,8,74,43.0
136,8,75,42.0
136,8,76,48.0
136,8,77,59.0
136,8,78,55.0
136,8,79,72.0
136,8,80,88.0
136,8,81,92.0
136,8,82,95.0
136,9,51,48.0
136,9,52,43.0
136,9,53,37.0
136,9,54,37.0
136,9,55,35.0
136,9,56,30.0
136,9,57,30.0
136,9,58,33.0
136,9,59,31.0
136,9,60,34.0
136,9,61,37.0
136,9,62,29.0
136,9,63,32.0
136,9,64,42.0
136,9,65,48.0
136,9,66,50.0
136,9,67,49.0
136,9,68,62.0
136,9,69,65.0
137,6,81,124.0
137,6,82,119.0
137,6,83,113.0
137,6,84,100.0
137,6,85,97.0
137,6,86,81.0
137,6,87,82.0
137,6,88,85.0
137,6,89,71.0
137,6,90,77.0
137,6,91,80.0
137,6,92,78.0
137,6,93,89.0
137,7,62,109.0
137,7,63,100.0
137,7,64,92.0
137,7,65,84.0
137,7,66,77.0
137,7,67,70.0
137,7,68,72.0
137,7,69,72.0
137,7,70,62.0
137,7,71,53.0
137,7,72,54.0
137,7,73,54.0
137,7,74,48.0
137,7,75,43.0
137,7,76,49.0
137,7,77,51.0
137,7,78,39.0
137,7,79,48.0
137,7,80,41.0
137,7,81,44.0
137,7,82,47.0
137,7,83,55.0
137,7,84,57.0
137,7,85,66.0
137,7,86,67.0
137,7,87,71.0
137,8,56,47.0
137,8,57,36.0
137,8,58,29.0
137,8,59,28.0
137,8,60,30.0
137,8,61,31.0
137,8,62,28.0
137,8,63,29.0
137,8,64,28.0
137,8,65,28.0
137,8,66,32.0
137,8,67,28.0
137,8,68,30.0
137,8,69,40.0
137,8,70,34.0
137,8,71,29.0
137,8,72,36.0
137,8,73,40.0
137,8,74,47.0
137,8,75,45.0
137,8,76,50.0
137,8,77,65.0
137,8,78,69.0
137,8,79,89.0
137,8,80,106.0
137,8,81,117.0
137,8,82,108.0
137,9,51,36.0
137,9,52,33.0
137,9,53,31.0
137,9,54,30.0
137,9,55,32.0
137,9,56,26.0
137,9,57,24.0
137,9,58,27.0
137,9,59,26.0
137,9,60,31.0
137,9,61,38.0
137,9,62,38.0
137,9,63,40.0
137,9,64,45.0
137,9,65,49.0
137,9,66,53.0
137,9,67,56.0
137,9,68,72.0
137,9,69,80.0
138,6,81,127.0
138,6,82,120.0
138,6,83,124.0
138,6,84,115.0
138,6,85,101.0
138,6,86,83.0
138,6,87,90.0
138,6,88,97.0
138,6,89,95.0
138,7,61,110.0
138,7,62,101.0
138,7,63,89.0
138,7,64,84.0
138,7,65,81.0
138,7,66,73.0
138,7,67,69.0
138,7,68,67.0
138,7,69,67.0
138,7,70,65.0
138,7,71,59.0
138,7,72,58.0
138,7,73,53.0
138,7,74,49.0
138,7,75,49.0
138,7,76,49.0
138,7,77,49.0
138,7,78,40.0
138,7,79,52.0
138,7,80,49.0
138,7,81,49.0
138,7,82,55.0
138,7,83,57.0
138,7,84,60.0
138,7,85,67.0
138,7,86,76.0
138,7,87,77.0
138,8,54,61.0
138,8,55,43.0
138,8,56,34.0
138,8,57,29.0
138,8,58,24.0
138,8,59,24.0
138,8,60,26.0
138,8,61,32.0
138,8,62,31.0
138,8,63,28.0
138,8,64,28.0
138,8,65,33.0
138,8,66,41.0
138,8,67,33.0
138,8,68,26.0
138,8,69,36.0
138,8,70,40.0
138,8,71,33.0
138,8,72,35.0
138,8,73,44.0
138,8,74,49.0
138,8,75,55.0
138,8,76,60.0
138,8,77,73.0
138,8,78,83.0
138,8,79,104.0
138,8,80,120.0
138,9,48,37.0
138,9,49,36.0
138,9,50,35.0
138,9,51,31.0
138,9,52,30.0
138,9,53,29.0
138,9,54,26.0
138,9,55,27.0
138,9,56,26.0
138,9,57,27.0
138,9,58,29.0
138,9,59,26.0
138,9,60,32.0
138,9,61,36.0
138,9,62,34.0
138,9,63,39.0
138,9,64,47.0
138,9,65,47.0
138,9,66,56.0
138,9,67,67.0
138,9,68,78.0
139,7,59,105.0
139,7,60,102.0
139,7,61,96.0
139,7,62,91.0
139,7,63,85.0
139,7,64,76.0
139,7,65,74.0
139,7,66,74.0
139,7,67,70.0
139,7,68,63.0
139,7,69,66.0
139,7,70,64.0
139,7,71,59.0
139,7,72,61.0
139,7,73,50.0
139,7,74,47.0
139,7,75,49.0
139,7,76,47.0
139,7,77,48.0
139,7,78,40.0
139,7,79,54.0
139,7,80,59.0
139,7,81,58.0
139,7,82,62.0
139,7,83,62.0
139,7,84,76.0
139,8,51,53.0
139,8,52,56.0
139,8,53,52.0
139,8,54,42.0
139,8,55,35.0
139,8,56,31.0
139,8,57,29.0
139,8,58,29.0
139,8,59,27.0
139,8,60,26.0
139,8,61,33.0
139,8,62,31.0
139,8,63,27.0
139,8,64,26.0
139,8,65,29.0
139,8,66,39.0
139,8,67,36.0
139,8,68,31.0
139,8,69,34.0
139,8,70,37.0
139,8,71,36.0
139,8,72,37.0
139,8,73,50.0
139,8,74,48.0
139,8,75,56.0
139,8,76,64.0
139,8,77,91.0
139,8,78,102.0
139,8,79,112.0
139,9,46,42.0
139,9,47,33.0
139,9,48,29.0
139,9,49,31.0
139,9,50,29.0
139,9,51,27.0
139,9,52,27.0
139,9,53,27.0
139,9,54,26.0
139,9,55,23.0
139,9,56,24.0
139,9,57,28.0
139,9,58,30.0
139,9,59,30.0
139,9,60,32.0
139,9,61,38.0
139,9,62,37.0
139,9,63,42.0
139,9,64,54.0
139,9,65,57.0
139,9,66,67.0
